教室可容纳学生,教室编号,资源,教室ID
200,10101,多媒体；黑板；黑板刷；粉笔,1-101
80,10102,多媒体；黑板；黑板刷；粉笔,1-102
80,10103,多媒体；黑板；黑板刷；粉笔,1-103
80,10104,多媒体；黑板；黑板刷；粉笔,1-104
300,10105,多媒体；黑板；黑板刷；粉笔,1-105
300,10106,多媒体；黑板；黑板刷；粉笔,1-106
120,10107,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,1-107
300,10108,多媒体；黑板；黑板刷；粉笔,1-108
80,10109,多媒体；黑板；黑板刷；粉笔,1-109
80,10110,多媒体；黑板；黑板刷；粉笔,1-110
80,10111,多媒体；黑板；黑板刷；粉笔,1-111
80,10112,多媒体；黑板；黑板刷；粉笔,1-112
300,10201,多媒体；黑板；黑板刷；粉笔,1-201
80,10202,多媒体；黑板；黑板刷；粉笔,1-202
80,10203,多媒体；黑板；黑板刷；粉笔,1-203
80,10204,多媒体；黑板；黑板刷；粉笔,1-204
200,10205,多媒体；黑板；黑板刷；粉笔,1-205
200,10206,多媒体；黑板；黑板刷；粉笔,1-206
120,10207,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,1-207
300,10208,多媒体；黑板；黑板刷；粉笔,1-208
80,10209,多媒体；黑板；黑板刷；粉笔,1-209
80,10210,多媒体；黑板；黑板刷；粉笔,1-210
80,10211,多媒体；黑板；黑板刷；粉笔,1-211
80,10212,多媒体；黑板；黑板刷；粉笔,1-212
300,10301,多媒体；黑板；黑板刷；粉笔,1-301
80,10302,多媒体；黑板；黑板刷；粉笔,1-302
80,10303,多媒体；黑板；黑板刷；粉笔,1-303
80,10304,多媒体；黑板；黑板刷；粉笔,1-304
300,10305,多媒体；黑板；黑板刷；粉笔,1-305
200,10306,多媒体；黑板；黑板刷；粉笔,1-306
120,10307,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,1-307
300,10308,多媒体；黑板；黑板刷；粉笔,1-308
80,10309,多媒体；黑板；黑板刷；粉笔,1-309
80,10310,多媒体；黑板；黑板刷；粉笔,1-310
80,10311,多媒体；黑板；黑板刷；粉笔,1-311
80,10312,多媒体；黑板；黑板刷；粉笔,1-312
300,10401,多媒体；黑板；黑板刷；粉笔,1-401
80,10402,多媒体；黑板；黑板刷；粉笔,1-402
80,10403,多媒体；黑板；黑板刷；粉笔,1-403
80,10404,多媒体；黑板；黑板刷；粉笔,1-404
300,10405,多媒体；黑板；黑板刷；粉笔,1-405
200,10406,多媒体；黑板；黑板刷；粉笔,1-406
120,10407,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,1-407
300,10408,多媒体；黑板；黑板刷；粉笔,1-408
80,10409,多媒体；黑板；黑板刷；粉笔,1-409
80,10410,多媒体；黑板；黑板刷；粉笔,1-410
80,10411,多媒体；黑板；黑板刷；粉笔,1-411
80,10412,多媒体；黑板；黑板刷；粉笔,1-412
300,10501,多媒体；黑板；黑板刷；粉笔,1-501
80,10502,多媒体；黑板；黑板刷；粉笔,1-502
80,10503,多媒体；黑板；黑板刷；粉笔,1-503
80,10504,多媒体；黑板；黑板刷；粉笔,1-504
200,10505,多媒体；黑板；黑板刷；粉笔,1-505
300,10506,多媒体；黑板；黑板刷；粉笔,1-506
