教室可容纳学生,教室编号,资源,教室ID
200,10101,投影仪；黑板；黑板刷；粉笔,1-101
80,10102,投影仪；黑板；黑板刷；粉笔,1-102
80,10103,投影仪；黑板；黑板刷；粉笔,1-103
80,10104,投影仪；黑板；黑板刷；粉笔,1-104
300,10105,投影仪；黑板；黑板刷；粉笔,1-105
300,10106,投影仪；黑板；黑板刷；粉笔,1-106
120,10107,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-107
300,10108,投影仪；黑板；黑板刷；粉笔,1-108
80,10109,投影仪；黑板；黑板刷；粉笔,1-109
80,10110,投影仪；黑板；黑板刷；粉笔,1-110
80,10111,投影仪；黑板；黑板刷；粉笔,1-111
80,10112,投影仪；黑板；黑板刷；粉笔,1-112
300,10201,投影仪；黑板；黑板刷；粉笔,1-201
80,10202,投影仪；黑板；黑板刷；粉笔,1-202
80,10203,投影仪；黑板；黑板刷；粉笔,1-203
80,10204,投影仪；黑板；黑板刷；粉笔,1-204
200,10205,投影仪；黑板；黑板刷；粉笔,1-205
200,10206,投影仪；黑板；黑板刷；粉笔,1-206
120,10207,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-207
300,10208,投影仪；黑板；黑板刷；粉笔,1-208
80,10209,投影仪；黑板；黑板刷；粉笔,1-209
80,10210,投影仪；黑板；黑板刷；粉笔,1-210
80,10211,投影仪；黑板；黑板刷；粉笔,1-211
80,10212,投影仪；黑板；黑板刷；粉笔,1-212
300,10301,投影仪；黑板；黑板刷；粉笔,1-301
80,10302,投影仪；黑板；黑板刷；粉笔,1-302
80,10303,投影仪；黑板；黑板刷；粉笔,1-303
80,10304,投影仪；黑板；黑板刷；粉笔,1-304
300,10305,投影仪；黑板；黑板刷；粉笔,1-305
200,10306,投影仪；黑板；黑板刷；粉笔,1-306
120,10307,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-307
300,10308,投影仪；黑板；黑板刷；粉笔,1-308
80,10309,投影仪；黑板；黑板刷；粉笔,1-309
80,10310,投影仪；黑板；黑板刷；粉笔,1-310
80,10311,投影仪；黑板；黑板刷；粉笔,1-311
80,10312,投影仪；黑板；黑板刷；粉笔,1-312
300,10401,投影仪；黑板；黑板刷；粉笔,1-401
80,10402,投影仪；黑板；黑板刷；粉笔,1-402
80,10403,投影仪；黑板；黑板刷；粉笔,1-403
80,10404,投影仪；黑板；黑板刷；粉笔,1-404
300,10405,投影仪；黑板；黑板刷；粉笔,1-405
200,10406,投影仪；黑板；黑板刷；粉笔,1-406
120,10407,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-407
300,10408,投影仪；黑板；黑板刷；粉笔,1-408
80,10409,投影仪；黑板；黑板刷；粉笔,1-409
80,10410,投影仪；黑板；黑板刷；粉笔,1-410
80,10411,投影仪；黑板；黑板刷；粉笔,1-411
80,10412,投影仪；黑板；黑板刷；粉笔,1-412
300,10501,投影仪；黑板；黑板刷；粉笔,1-501
80,10502,投影仪；黑板；黑板刷；粉笔,1-502
80,10503,投影仪；黑板；黑板刷；粉笔,1-503
80,10504,投影仪；黑板；黑板刷；粉笔,1-504
200,10505,投影仪；黑板；黑板刷；粉笔,1-505
300,10506,投影仪；黑板；黑板刷；粉笔,1-506
120,10507,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-507
200,10508,投影仪；黑板；黑板刷；粉笔,1-508
80,10509,投影仪；黑板；黑板刷；粉笔,1-509
80,10510,投影仪；黑板；黑板刷；粉笔,1-510
80,10511,投影仪；黑板；黑板刷；粉笔,1-511
80,10512,投影仪；黑板；黑板刷；粉笔,1-512
300,10601,投影仪；黑板；黑板刷；粉笔,1-601
80,10602,投影仪；黑板；黑板刷；粉笔,1-602
80,10603,投影仪；黑板；黑板刷；粉笔,1-603
80,10604,投影仪；黑板；黑板刷；粉笔,1-604
200,10605,投影仪；黑板；黑板刷；粉笔,1-605
300,10606,投影仪；黑板；黑板刷；粉笔,1-606
120,10607,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-607
200,10608,投影仪；黑板；黑板刷；粉笔,1-608
80,10609,投影仪；黑板；黑板刷；粉笔,1-609
80,10610,投影仪；黑板；黑板刷；粉笔,1-610
80,10611,投影仪；黑板；黑板刷；粉笔,1-611
80,10612,投影仪；黑板；黑板刷；粉笔,1-612
300,20101,投影仪；黑板；黑板刷；粉笔,2-101
80,20102,投影仪；黑板；黑板刷；粉笔,2-102
80,20103,投影仪；黑板；黑板刷；粉笔,2-103
80,20104,投影仪；黑板；黑板刷；粉笔,2-104
300,20105,投影仪；黑板；黑板刷；粉笔,2-105
200,20106,投影仪；黑板；黑板刷；粉笔,2-106
120,20107,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-107
300,20108,投影仪；黑板；黑板刷；粉笔,2-108
80,20109,投影仪；黑板；黑板刷；粉笔,2-109
80,20110,投影仪；黑板；黑板刷；粉笔,2-110
80,20111,投影仪；黑板；黑板刷；粉笔,2-111
80,20112,投影仪；黑板；黑板刷；粉笔,2-112
300,20201,投影仪；黑板；黑板刷；粉笔,2-201
80,20202,投影仪；黑板；黑板刷；粉笔,2-202
80,20203,投影仪；黑板；黑板刷；粉笔,2-203
80,20204,投影仪；黑板；黑板刷；粉笔,2-204
200,20205,投影仪；黑板；黑板刷；粉笔,2-205
200,20206,投影仪；黑板；黑板刷；粉笔,2-206
120,20207,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-207
200,20208,投影仪；黑板；黑板刷；粉笔,2-208
80,20209,投影仪；黑板；黑板刷；粉笔,2-209
80,20210,投影仪；黑板；黑板刷；粉笔,2-210
80,20211,投影仪；黑板；黑板刷；粉笔,2-211
80,20212,投影仪；黑板；黑板刷；粉笔,2-212
200,20301,投影仪；黑板；黑板刷；粉笔,2-301
80,20302,投影仪；黑板；黑板刷；粉笔,2-302
80,20303,投影仪；黑板；黑板刷；粉笔,2-303
80,20304,投影仪；黑板；黑板刷；粉笔,2-304
200,20305,投影仪；黑板；黑板刷；粉笔,2-305
300,20306,投影仪；黑板；黑板刷；粉笔,2-306
120,20307,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-307
300,20308,投影仪；黑板；黑板刷；粉笔,2-308
80,20309,投影仪；黑板；黑板刷；粉笔,2-309
80,20310,投影仪；黑板；黑板刷；粉笔,2-310
80,20311,投影仪；黑板；黑板刷；粉笔,2-311
80,20312,投影仪；黑板；黑板刷；粉笔,2-312
300,20401,投影仪；黑板；黑板刷；粉笔,2-401
80,20402,投影仪；黑板；黑板刷；粉笔,2-402
80,20403,投影仪；黑板；黑板刷；粉笔,2-403
80,20404,投影仪；黑板；黑板刷；粉笔,2-404
200,20405,投影仪；黑板；黑板刷；粉笔,2-405
300,20406,投影仪；黑板；黑板刷；粉笔,2-406
120,20407,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-407
300,20408,投影仪；黑板；黑板刷；粉笔,2-408
80,20409,投影仪；黑板；黑板刷；粉笔,2-409
80,20410,投影仪；黑板；黑板刷；粉笔,2-410
80,20411,投影仪；黑板；黑板刷；粉笔,2-411
80,20412,投影仪；黑板；黑板刷；粉笔,2-412
200,20501,投影仪；黑板；黑板刷；粉笔,2-501
80,20502,投影仪；黑板；黑板刷；粉笔,2-502
80,20503,投影仪；黑板；黑板刷；粉笔,2-503
80,20504,投影仪；黑板；黑板刷；粉笔,2-504
200,20505,投影仪；黑板；黑板刷；粉笔,2-505
300,20506,投影仪；黑板；黑板刷；粉笔,2-506
120,20507,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-507
200,20508,投影仪；黑板；黑板刷；粉笔,2-508
80,20509,投影仪；黑板；黑板刷；粉笔,2-509
80,20510,投影仪；黑板；黑板刷；粉笔,2-510
80,20511,投影仪；黑板；黑板刷；粉笔,2-511
80,20512,投影仪；黑板；黑板刷；粉笔,2-512
300,20601,投影仪；黑板；黑板刷；粉笔,2-601
